iter	Passed	Remaining
542	530421	251046
543	531376	250059
544	532395	249102
545	533301	248092
546	534367	247157
547	535433	246221
548	536384	245232
549	537405	244275
550	538442	243324
551	539465	242368
552	540410	241377
553	541538	240466
554	542512	239487
555	543542	238533
556	544547	237567
557	545576	236611
558	546610	235658
559	547659	234711
560	548758	233784
561	549596	232747
562	550570	231767
563	551556	230793
564	552504	229802
565	553525	228842
566	554571	227892
567	555541	226911
568	556597	225964
569	557553	224977
570	558559	224010
571	559580	223049
572	560453	222029
573	561532	221091
574	562463	220094
575	563433	219113
576	564520	218176
577	565537	217213
578	566646	216284
579	567651	215315
580	568590	214322
581	569580	213347
582	570534	212360
583	571528	211387
584	572542	210421
585	573448	209416
586	574452	208446
587	575471	207482
588	576421	206493
589	577520	205558
590	578487	204575
591	579549	203625
592	580524	202645
593	581633	201711
594	582576	200719
595	583581	199749
596	584540	198763
597	585633	197822
598	586724	196880
599	587711	195903
600	588773	194951
601	589750	193971
602	590699	192981
603	591653	191993
604	592669	191025
605	593630	190040
606	594678	189082
607	595635	188095
608	596641	187123
609	597593	186135
610	598503	185134
611	599540	184172
612	600560	183205
613	601499	182213
614	602559	181257
615	603609	180299
616	604581	179316
617	605666	178367
618	606685	177399
619	607627	176407
620	608698	175454
621	609720	174485
622	610623	173483
623	611705	172532
624	612681	171550
625	613637	170563
626	614680	169600
627	615625	168610
628	616624	167635
629	617660	166670
630	618621	165684
631	619578	164698
632	620542	163713
633	621545	162739
634	622610	161780
635	623639	160812
636	624557	159816
637	625556	158840
638	626524	157856
639	627526	156881
640	628571	155917
641	629488	154920
642	630448	153935
643	631464	152963
644	632434	151980
645	633455	151009
646	634455	150033
647	635408	149046
648	636365	148060
649	637369	147085
650	638355	146105
651	639351	145128
652	640311	144143
653	641388	143184
654	642493	142231
655	643435	141241
656	644460	140270
657	645421	139285
658	646363	138296
659	647376	137322
660	648360	136342
661	649371	135367
662	650491	134415
663	651463	133432
664	652508	132464
665	653499	131484
666	654397	130486
667	655431	129516
668	656354	128523
669	657382	127551
670	658362	126570
671	659373	125595
672	660436	124629
673	661449	123653
674	662342	122656
675	663321	121674
676	664286	120690
677	665303	119715
678	666257	118729
679	667266	117752
680	668256	116773
681	669238	115792
682	670281	114821
683	671289	113844
684	672366	112878
685	673435	111911
686	674388	110925
687	675350	109940
688	676429	108974
689	677493	108006
690	678441	107018
691	679520	106052
692	680466	105064
693	681466	104085
694	682498	103111
695	683494	102131
696	684543	101159
697	685476	100169
698	686539	99199
699	687519	98217
700	688476	97231
701	689437	96246
702	690493	95274
703	691575	94305
704	692604	93329
705	693708	92363
706	694694	91381
707	695782	90412
708	696817	89436
709	697832	88457
710	698823	87475
711	699837	86496
712	700919	85525
713	701856	84537
714	702876	83558
715	703909	82581
716	704867	81595
717	705873	80615
718	706790	79624
719	707692	78632
720	708743	77657
721	709742	76675
722	710759	75696
723	711680	74706
724	712695	73727
725	713675	72743
726	714663	71761
727	715594	70773
728	716617	69794
729	717667	68817
730	718648	67834
731	719714	66858
732	720837	65888
733	721776	64900
734	722837	63924
735	723828	62941
736	724855	61961
737	725826	60977
738	726848	59996
739	727878	59017
740	728846	58032
741	729866	57051
742	730824	56065
743	731762	55078
744	732734	54094
745	733711	53110
746	734740	52130
747	735671	51142
748	736681	50161
749	737688	49179
750	738594	48190
751	739666	47212
752	740661	46229
753	741580	45242
754	742547	44257
755	743565	43276
756	744571	42294
757	745630	41314
758	746619	40331
759	747677	39351
760	748691	38369
761	749727	37387
762	750693	36403
763	751726	35421
764	752758	34439
765	753839	33460
766	754809	32475
767	755895	31495
768	756912	30512
769	758027	29533
770	758933	28546
771	759939	27562
772	761007	26581
773	761959	25595
774	762914	24610
775	763986	23628
776	764926	22642
777	765932	21658
778	766964	20675
779	767933	19690
780	768867	18704
781	769890	17721
782	770750	16734
783	771865	15752
784	772818	14767
785	773806	13782
786	774772	12798
787	775765	11813
788	776859	10830
789	777869	9846
790	778772	8860
791	779753	7876
792	780798	6892
793	781779	5907
794	782727	4922
795	783769	3938
796	784692	2953
797	785786	1969
798	786858	984
799	787982	0
